id,name,county,number,type
1,Aitkin Public School District,1,1,1
2,Hill City Public School District,1,2,1
3,Mcgregor Public School District,1,4,1
4,Anoka-Hennepin Public School Dist.,2,11,1
5,Centennial Public School District,2,12,1
6,Columbia Heights Public School Dist,2,13,1
7,Fridley Public School District,2,14,1
8,St. Francis Area Schools,2,15,1
9,Spring Lake Park Public Schools,2,16,1
10,Detroit Lakes Public School Dist.,3,22,1
11,Frazee-Vergas Public School Dist.,3,23,1
12,Bemidji Public School District,4,31,1
13,Blackduck Public School District,4,32,1
14,Kelliher Public School District,4,36,1
15,Red Lake Public School District,4,38,1
16,Sauk Rapids-Rice Public Schools,5,47,1
17,Foley Public School District,5,51,1
18,St. Clair Public School District,7,75,1
19,Mankato Public School District,7,77,1
20,Comfrey Public School District,8,81,1
21,Sleepy Eye Public School District,8,84,1
22,Springfield Public School District,8,85,1
23,New Ulm Public School District,8,88,1
24,Barnum Public School District,9,91,1
25,Carlton Public School District,9,93,1
26,Cloquet Public School District,9,94,1
27,Cromwell-Wright Public Schools,9,95,1
28,Moose Lake Public School District,9,97,1
29,Esko Public School District,9,99,1
30,Wrenshall Public School District,9,100,1
31,Central Public School District,10,108,1
32,Waconia Public School District,10,110,1
33,Watertown-Mayer Public School Dist,10,111,1
34,Eastern Carver County Public School,10,112,1
35,Walker-Hackensack-Akeley Schl. Dist,11,113,1
36,Cass Lake-Bena Public Schools,11,115,1
37,Pillager Public School District,11,116,1
38,Northland Community Schools,11,118,1
39,Montevideo Public School District,12,129,1
40,North Branch Public Schools,13,138,1
41,Rush City Public School District,13,139,1
42,Barnesville Public School Dist.,14,146,1
43,Hawley Public School District,14,150,1
44,Moorhead Public School District,14,152,1
45,Bagley Public School District,15,162,1
46,Cook County Public Schools,16,166,1
47,Mountain Lake Public Schools,17,173,1
48,Windom Public School District,17,177,1
49,Brainerd Public School District,18,181,1
50,Crosby-Ironton Public School Dist.,18,182,1
51,Pequot Lakes Public Schools,18,186,1
52,Burnsville Public School District,19,191,1
53,Farmington Public School District,19,192,1
54,Lakeville Public School District,19,194,1
55,Randolph Public School District,19,195,1
56,Rosemount-Apple Valley-Eagan,19,196,1
57,West St. Paul-Mendota Heights-Eagan,19,197,1
58,Inver Grove Heights Schools,19,199,1
59,Hastings Public School District,19,200,1
60,Hayfield Public School District,20,203,1
61,Kasson-Mantorville School District,20,204,1
62,Alexandria Public School District,21,206,1
63,Osakis Public School District,21,213,1
64,Chatfield Public Schools,55,227,1
65,Lanesboro Public School District,23,229,1
66,Mabel-Canton Public School Dist.,23,238,1
67,Rushford-Peterson Public Schools,23,239,1
68,Albert Lea Public School District,24,241,1
69,Alden-Conger Public School District,24,242,1
70,Cannon Falls Public School District,25,252,1
71,Goodhue Public School District,25,253,1
72,Pine Island Public School District,25,255,1
73,Red Wing Public School District,25,256,1
74,Ashby Public School District,26,261,1
75,Hopkins Public School District,27,270,1
76,Bloomington Public School District,27,271,1
77,Eden Prairie Public School District,27,272,1
78,Edina Public School District,27,273,1
79,Minnetonka Public School District,27,276,1
80,Westonka Public School District,27,277,1
81,Orono Public School District,27,278,1
82,Osseo Public School District,27,279,1
83,Richfield Public School District,27,280,1
84,Robbinsdale Public School District,27,281,1
85,St. Anthony-New Brighton Schools,27,282,1
86,St. Louis Park Public School Dist.,27,283,1
87,Wayzata Public School District,27,284,1
88,Brooklyn Center School District,27,286,1
89,Houston Public School District,28,294,1
90,Spring Grove School District,28,297,1
91,Caledonia Public School District,28,299,1
92,La Crescent-Hokah School District,28,300,1
93,Laporte Public School District,29,306,1
94,Nevis Public School District,29,308,1
95,Park Rapids Public School District,29,309,1
96,Braham Public School District,30,314,1
97,Greenway Public School District,31,316,1
98,Deer River Public School District,31,317,1
99,Grand Rapids Public School District,31,318,1
100,Nashwauk-Keewatin School District,31,319,1
101,Heron Lake-Okabena School District,32,330,1
102,Mora Public School District,33,332,1
103,Ogilvie Public School District,33,333,1
104,New London-Spicer School District,34,345,1
105,Willmar Public School District,34,347,1
106,Lancaster Public School District,35,356,1
107,International Falls School District,36,361,1
108,Littlefork-Big Falls School Dist.,36,362,1
109,South Koochiching School District,36,363,1
110,Dawson-Boyd Public School District,37,378,1
111,Lake Superior Public School Dist.,38,381,1
112,Lake Of The Woods School District,39,390,1
113,Cleveland Public School District,40,391,1
114,Marshall Public School District,42,413,1
115,Minneota Public School District,42,414,1
116,Lynd Public School District,42,415,1
117,Hutchinson Public School District,43,423,1
118,Lester Prairie Public School Dist.,43,424,1
119,Mahnomen Public School District,44,432,1
